Name of Earth Meteorite,ID of Earth Meteorite,Name Type,Recclass,Mass (g),Year,Latitude,Longitude,Coordinates
Binningup,5051,Valid,H5,,1984-01-01T00:00:00.000,-33.156390,115.676390,"[115.67639, -33.15639]"
Birni N'konni,5056,Valid,H4,,1923-01-01T00:00:00.000,13.766670,5.300000,"[5.3, 13.76667]"
Bishopville,5059,Valid,Aubrite,,1843-01-01T00:00:00.000,34.166670,-80.283330,"[-80.28333, 34.16667]"
Bishunpur,5060,Valid,LL3.15,,1895-01-01T00:00:00.000,25.383330,82.600000,"[82.6, 25.38333]"
Bjelaja Zerkov,5063,Valid,H6,,1796-01-01T00:00:00.000,49.783330,30.166670,"[30.16667, 49.78333]"
Bjurböle,5064,Valid,L/LL4,,1899-01-01T00:00:00.000,60.400000,25.800000,"[25.8, 60.4]"
Black Moshannan Park,5065,Valid,L5,,1941-01-01T00:00:00.000,40.916670,-78.083330,"[-78.08333, 40.91667]"
Blackwell,5068,Valid,L5,,1906-01-01T00:00:00.000,36.833330,-97.333330,"[-97.33333, 36.83333]"
Blanket,5071,Valid,L6,,1909-01-01T00:00:00.000,31.833330,-98.833330,"[-98.83333, 31.83333]"
Blansko,5072,Valid,H6,,1833-01-01T00:00:00.000,49.366670,16.633330,"[16.63333, 49.36667]"
Bloomington,5076,Valid,LL6,,1938-01-01T00:00:00.000,40.480000,-89.004170,"[-89.00417, 40.48]"
Bo Xian,5090,Valid,LL3.9,,1977-01-01T00:00:00.000,33.833330,115.833330,"[115.83333, 33.83333]"
Bocas,5093,Valid,L6,,1804-01-01T00:00:00.000,23.000000,-102.000000,"[-102, 23]"
Bogou,5097,Valid,"Iron, IAB-MG",,1962-01-01T00:00:00.000,12.500000,0.700000,"[0.7, 12.5]"
Boguslavka,5098,Valid,"Iron, IIAB",,1916-01-01T00:00:00.000,44.550000,131.633330,"[131.63333, 44.55]"
Borgo San Donino,5110,Valid,LL6,,1808-01-01T00:00:00.000,44.866670,10.050000,"[10.05, 44.86667]"
Bori,5111,Valid,L6,,1894-01-01T00:00:00.000,21.950000,78.033330,"[78.03333, 21.95]"
Boriskino,5112,Valid,CM2,,1930-01-01T00:00:00.000,54.233330,52.483330,"[52.48333, 54.23333]"
Borkut,5113,Valid,L5,,1852-01-01T00:00:00.000,48.150000,24.283330,"[24.28333, 48.15]"
Borodino,5114,Valid,H5,,1812-01-01T00:00:00.000,55.466670,35.866670,"[35.86667, 55.46667]"
Botschetschki,5117,Valid,L4,,1823-01-01T00:00:00.000,51.333330,33.883330,"[33.88333, 51.33333]"
Boumdeid (2003),57168,Valid,L6,,2003-01-01T00:00:00.000,17.710670,-11.371500,"[-11.3715, 17.71067]"
Boumdeid (2011),57167,Valid,L6,,2011-01-01T00:00:00.000,17.174930,-11.341330,"[-11.34133, 17.17493]"
Bovedy,5121,Valid,L3,,1969-01-01T00:00:00.000,54.566670,-6.333330,"[-6.33333, 54.56667]"
Bradford Woods,5128,Valid,L,,1886-01-01T00:00:00.000,40.500000,-80.083330,"[-80.08333, 40.5]"
Braunau,5133,Valid,"Iron, IIAB",,1847-01-01T00:00:00.000,50.600000,16.300000,"[16.3, 50.6]"
Breitscheid,5134,Valid,H5,,1956-01-01T00:00:00.000,50.666940,8.183610,"[8.18361, 50.66694]"
Bremervörde,5135,Valid,H/L3.9,,1855-01-01T00:00:00.000,53.400000,9.100000,"[9.1, 53.4]"
Brient,5140,Valid,Eucrite-pmict,,1933-01-01T00:00:00.000,52.133330,59.316670,"[59.31667, 52.13333]"
Bruderheim,5156,Valid,L6,,1960-01-01T00:00:00.000,53.900000,-112.883330,"[-112.88333, 53.9]"
Bukhara,30448,Valid,CV3,,2001-01-01T00:00:00.000,39.779780,64.600350,"[64.60035, 39.77978]"
Bulls Run,5163,Valid,Iron?,,1964-01-01T00:00:00.000,,,[]
Bunburra Rockhole,48653,Valid,Eucrite,,2007-01-01T00:00:00.000,-31.350000,129.190000,"[129.19, -31.35]"
Bununu,5165,Valid,Howardite,,1942-01-01T00:00:00.000,10.016670,9.583330,"[9.58333, 10.01667]"
Bur-Gheluai,5169,Valid,H5,,1919-01-01T00:00:00.000,5.000000,48.000000,"[48, 5]"
Burnwell,5175,Valid,H4-an,,1990-01-01T00:00:00.000,37.621940,-82.237220,"[-82.23722, 37.62194]"
Bursa,5177,Valid,L6,,1946-01-01T00:00:00.000,40.200000,29.233330,"[29.23333, 40.2]"
Buschhof,5178,Valid,L6,,1863-01-01T00:00:00.000,46.450000,25.783330,"[25.78333, 46.45]"
Bustee,5181,Valid,Aubrite,,1852-01-01T00:00:00.000,26.783330,82.833330,"[82.83333, 26.78333]"
Butsura,5183,Valid,H6,,1861-01-01T00:00:00.000,27.083330,84.083330,"[84.08333, 27.08333]"
Buzzard Coulee,48654,Valid,H4,,2008-01-01T00:00:00.000,52.996000,-109.848170,"[-109.84817, 52.996]"
Cabezo de Mayo,5185,Valid,L/LL6,,1870-01-01T00:00:00.000,37.983330,-1.166670,"[-1.16667, 37.98333]"
Cabin Creek,5186,Valid,"Iron, IIIAB",,1886-01-01T00:00:00.000,35.500000,-93.500000,"[-93.5, 35.5]"
Cacak,5187,Valid,OC,,1919-01-01T00:00:00.000,43.838890,20.333330,"[20.33333, 43.83889]"
Cali,45976,Valid,H/L4,,2007-01-01T00:00:00.000,3.405000,-76.510000,"[-76.51, 3.405]"
Calivo,5200,Valid,Stone-uncl,,1916-01-01T00:00:00.000,11.750000,122.333330,"[122.33333, 11.75]"
Campos Sales,5249,Valid,L5,,1991-01-01T00:00:00.000,-7.033330,-40.166670,"[-40.16667, -7.03333]"
Çanakkale,5250,Valid,L6,,1964-01-01T00:00:00.000,39.800000,26.600000,"[26.6, 39.8]"
Cañellas,5251,Valid,H4,,1861-01-01T00:00:00.000,41.250000,1.666670,"[1.66667, 41.25]"
Cangas de Onis,5252,Valid,H5,,1866-01-01T00:00:00.000,43.383330,-5.150000,"[-5.15, 43.38333]"
