Name of Earth Meteorite,ID of Earth Meteorite,Name Type,Recclass,Mass (g),Year,Latitude,Longitude,Coordinates
Farmville,10075,Valid,H4,,1934-01-01T00:00:00.000,35.550000,-77.533330,"[-77.53333, 35.55]"
Favars,10078,Valid,H5,,1844-01-01T00:00:00.000,44.383330,2.816670,"[2.81667, 44.38333]"
Fayetteville,10079,Valid,H4,,1934-01-01T00:00:00.000,36.050000,-94.166670,"[-94.16667, 36.05]"
Feid Chair,10080,Valid,H4,,1875-01-01T00:00:00.000,36.883330,8.450000,"[8.45, 36.88333]"
Felix,10081,Valid,CO3.3,,1900-01-01T00:00:00.000,32.533330,-87.166670,"[-87.16667, 32.53333]"
Fenghsien-Ku,10086,Valid,H5,,1924-01-01T00:00:00.000,34.600000,116.750000,"[116.75, 34.6]"
Ferguson,10088,Valid,OC,,1889-01-01T00:00:00.000,36.100000,-81.416670,"[-81.41667, 36.1]"
Fermo,10091,Valid,H3-5,,1996-01-01T00:00:00.000,43.181110,13.753330,"[13.75333, 43.18111]"
Fisher,10107,Valid,L6,,1894-01-01T00:00:00.000,47.816670,-96.850000,"[-96.85, 47.81667]"
Florence,10111,Valid,H3,,1922-01-01T00:00:00.000,30.833330,-97.766670,"[-97.76667, 30.83333]"
Forest City,10119,Valid,H5,,1890-01-01T00:00:00.000,43.250000,-93.666670,"[-93.66667, 43.25]"
Forest Vale,10120,Valid,H4,,1942-01-01T00:00:00.000,-33.350000,146.858330,"[146.85833, -33.35]"
Forksville,10123,Valid,L6,,1924-01-01T00:00:00.000,36.783330,-78.083330,"[-78.08333, 36.78333]"
Forsbach,10163,Valid,H6,,1900-01-01T00:00:00.000,50.950000,7.316670,"[7.31667, 50.95]"
Forsyth,10164,Valid,L6,,1829-01-01T00:00:00.000,33.016670,-83.966670,"[-83.96667, 33.01667]"
Fort Flatters,10166,Valid,Stone-uncl,,1944-01-01T00:00:00.000,28.250000,7.000000,"[7, 28.25]"
Frankfort (stone),10177,Valid,Howardite,,1868-01-01T00:00:00.000,34.483330,-87.833330,"[-87.83333, 34.48333]"
Fuhe,52412,Valid,L5,,1945-01-01T00:00:00.000,31.475560,113.566940,"[113.56694, 31.47556]"
Fukutomi,10836,Valid,L5,,1882-01-01T00:00:00.000,33.183330,130.200000,"[130.2, 33.18333]"
Fünen,10838,Valid,Stone-uncl,,1654-01-01T00:00:00.000,55.333330,10.333330,"[10.33333, 55.33333]"
Futtehpur,10839,Valid,L6,,1822-01-01T00:00:00.000,25.950000,80.816670,"[80.81667, 25.95]"
Fuyang,10840,Valid,Stone-uncl,,1977-01-01T00:00:00.000,32.900000,115.900000,"[115.9, 32.9]"
Galapian,10846,Valid,H6,,1826-01-01T00:00:00.000,44.300000,0.400000,"[0.4, 44.3]"
Galim (a),10848,Valid,LL6,,1952-01-01T00:00:00.000,7.050000,12.433330,"[12.43333, 7.05]"
Galim (b),10849,Valid,EH3/4-an,,1952-01-01T00:00:00.000,7.050000,12.433330,"[12.43333, 7.05]"
Galkiv,10850,Valid,H4,,1995-01-01T00:00:00.000,51.683330,30.783330,"[30.78333, 51.68333]"
Gambat,10851,Valid,L6,,1897-01-01T00:00:00.000,27.350000,68.533330,"[68.53333, 27.35]"
Gao-Guenie,10854,Valid,H5,,1960-01-01T00:00:00.000,11.650000,-2.183330,"[-2.18333, 11.65]"
Garhi Yasin,10860,Valid,"Iron, IIE",,1917-01-01T00:00:00.000,27.883330,68.533330,"[68.53333, 27.88333]"
Garland,10861,Valid,Diogenite-pm,,1950-01-01T00:00:00.000,41.683330,-112.133330,"[-112.13333, 41.68333]"
Gashua,44882,Valid,L6,,1984-01-01T00:00:00.000,12.850000,11.033330,"[11.03333, 12.85]"
Gasseltepaoua,10866,Valid,H5,,2000-01-01T00:00:00.000,14.150830,-2.041670,"[-2.04167, 14.15083]"
Geidam,10870,Valid,H5,,1950-01-01T00:00:00.000,12.916670,11.916670,"[11.91667, 12.91667]"
Gifu,10914,Valid,L6,,1909-01-01T00:00:00.000,35.533330,136.883330,"[136.88333, 35.53333]"
Girgenti,10917,Valid,L6,,1853-01-01T00:00:00.000,37.316670,13.566670,"[13.56667, 37.31667]"
Git-Git,10919,Valid,L6,,1947-01-01T00:00:00.000,9.600000,9.916670,"[9.91667, 9.6]"
Glanerbrug,10923,Valid,L/LL5,,1990-01-01T00:00:00.000,52.200000,6.866670,"[6.86667, 52.2]"
Glanggang,10924,Valid,H5-6,,1939-01-01T00:00:00.000,-7.250000,107.700000,"[107.7, -7.25]"
Glasatovo,10926,Valid,H4,,1918-01-01T00:00:00.000,57.350000,37.616670,"[37.61667, 57.35]"
Glatton,10930,Valid,L6,,1991-01-01T00:00:00.000,52.459720,-0.300000,"[-0.3, 52.45972]"
Gnadenfrei,10936,Valid,H5,,1879-01-01T00:00:00.000,50.666670,16.766670,"[16.76667, 50.66667]"
Gopalpur,10948,Valid,H6,,1865-01-01T00:00:00.000,24.233330,89.050000,"[89.05, 24.23333]"
Gorlovka,10949,Valid,H3.7,,1974-01-01T00:00:00.000,48.283330,38.083330,"[38.08333, 48.28333]"
Granes,10956,Valid,L6,,1964-01-01T00:00:00.000,42.900000,2.250000,"[2.25, 42.9]"
Grefsheim,11196,Valid,L5,,1976-01-01T00:00:00.000,60.666670,11.000000,"[11, 60.66667]"
Grimsby,50911,Valid,H5,,2009-01-01T00:00:00.000,43.200000,-79.616670,"[-79.61667, 43.2]"
Grosnaja,11206,Valid,CV3,,1861-01-01T00:00:00.000,43.666670,45.383330,"[45.38333, 43.66667]"
Gross-Divina,11207,Valid,H5,,1837-01-01T00:00:00.000,49.266670,18.716670,"[18.71667, 49.26667]"
Grossliebenthal,11208,Valid,L6,,1881-01-01T00:00:00.000,46.350000,30.583330,"[30.58333, 46.35]"
Grüneberg,11426,Valid,H4,,1841-01-01T00:00:00.000,51.933330,15.500000,"[15.5, 51.93333]"
Grzempach,11429,Valid,H5,,1910-01-01T00:00:00.000,52.866670,16.633330,"[16.63333, 52.86667]"
Gualeguaychú,11432,Valid,H6,,1932-01-01T00:00:00.000,-33.000000,-58.616670,"[-58.61667, -33]"
Guangmingshan,11435,Valid,H5,,1996-01-01T00:00:00.000,39.804170,122.763890,"[122.76389, 39.80417]"
Guangnan,11436,Valid,L6,,1983-01-01T00:00:00.000,24.100000,105.000000,"[105, 24.1]"
Guangrao,11437,Valid,L6,,1980-01-01T00:00:00.000,37.100000,118.400000,"[118.4, 37.1]"
Guareña,11439,Valid,H6,,1892-01-01T00:00:00.000,38.733330,-6.016670,"[-6.01667, 38.73333]"
Guêa,11440,Valid,Stone-uncl,,1891-01-01T00:00:00.000,43.766670,20.233330,"[20.23333, 43.76667]"
Guibga,11442,Valid,L5,,1972-01-01T00:00:00.000,13.500000,-0.683330,"[-0.68333, 13.5]"
Guidder,11443,Valid,LL5,,1949-01-01T00:00:00.000,9.916670,13.983330,"[13.98333, 9.91667]"
Gujargaon,11448,Valid,H5,,1982-01-01T00:00:00.000,22.983330,76.050000,"[76.05, 22.98333]"
Gujba,11449,Valid,CBa,,1984-01-01T00:00:00.000,11.491670,11.658330,"[11.65833, 11.49167]"
Gumoschnik,11450,Valid,H5,,1904-01-01T00:00:00.000,42.900000,24.700000,"[24.7, 42.9]"
Gurram Konda,11464,Valid,L6,,1814-01-01T00:00:00.000,13.783330,78.566670,"[78.56667, 13.78333]"
Gursum,11465,Valid,H4/5,,1981-01-01T00:00:00.000,9.366670,42.416670,"[42.41667, 9.36667]"
Gütersloh,11466,Valid,H3/4,,1851-01-01T00:00:00.000,51.916670,8.383330,"[8.38333, 51.91667]"
Gyokukei,11467,Valid,OC,,1930-01-01T00:00:00.000,35.000000,127.500000,"[127.5, 35]"
Hachi-oji,11468,Valid,H?,,1817-01-01T00:00:00.000,35.650000,139.333330,"[139.33333, 35.65]"
Hainaut,11472,Valid,H3-6,,1934-01-01T00:00:00.000,50.316670,3.733330,"[3.73333, 50.31667]"
Hallingeberg,11479,Valid,L3.4,,1944-01-01T00:00:00.000,57.816670,16.233330,"[16.23333, 57.81667]"
Hamlet,11485,Valid,LL4,,1959-01-01T00:00:00.000,41.383330,-86.600000,"[-86.6, 41.38333]"
Haraiya,11824,Valid,Eucrite-mmict,,1878-01-01T00:00:00.000,26.800000,82.533330,"[82.53333, 26.8]"
Haripura,11829,Valid,CM2,,1921-01-01T00:00:00.000,28.383330,75.783330,"[75.78333, 28.38333]"
Harleton,11830,Valid,L6,,1961-01-01T00:00:00.000,32.675000,-94.511670,"[-94.51167, 32.675]"
Harrison County,11842,Valid,L6,,1859-01-01T00:00:00.000,38.250000,-86.166670,"[-86.16667, 38.25]"
Hashima,11848,Valid,H4,,1910-01-01T00:00:00.000,35.294500,136.700330,"[136.70033, 35.2945]"
Hassi-Jekna,11852,Valid,"Iron, IAB-sHL",,1890-01-01T00:00:00.000,28.950000,0.816670,"[0.81667, 28.95]"
Hatford,11855,Valid,Stone-uncl,,1628-01-01T00:00:00.000,51.650000,-1.516670,"[-1.51667, 51.65]"
Haverö,11859,Valid,Ureilite,,1971-01-01T00:00:00.000,60.245560,22.061940,"[22.06194, 60.24556]"
Hedeskoga,11869,Valid,H5,,1922-01-01T00:00:00.000,55.466670,13.783330,"[13.78333, 55.46667]"
Hedjaz,11870,Valid,L3.7-6,,1910-01-01T00:00:00.000,27.333330,35.666670,"[35.66667, 27.33333]"
Heredia,11875,Valid,H5,,1857-01-01T00:00:00.000,10.000000,-84.100000,"[-84.1, 10]"
Hessle,11878,Valid,H5,,1869-01-01T00:00:00.000,59.850000,17.666670,"[17.66667, 59.85]"
Higashi-koen,11883,Valid,H5,,1897-01-01T00:00:00.000,33.600000,130.433330,"[130.43333, 33.6]"
High Possil,11884,Valid,L6,,1804-01-01T00:00:00.000,55.900000,-4.233330,"[-4.23333, 55.9]"
Hiroshima,11889,Valid,H5,,2003-01-01T00:00:00.000,34.450000,132.383330,"[132.38333, 34.45]"
Hoima,44714,Valid,H6,,2003-01-01T00:00:00.000,1.345000,31.472780,"[31.47278, 1.345]"
Hökmark,11893,Valid,L4,,1954-01-01T00:00:00.000,64.433330,21.200000,"[21.2, 64.43333]"
Holbrook,11894,Valid,L/LL6,,1912-01-01T00:00:00.000,34.900000,-110.183330,"[-110.18333, 34.9]"
Holetta,11895,Valid,Stone-uncl,,1923-01-01T00:00:00.000,9.066670,38.416670,"[38.41667, 9.06667]"
Homestead,11901,Valid,L5,,1875-01-01T00:00:00.000,41.800000,-91.866670,"[-91.86667, 41.8]"
Honolulu,11904,Valid,L5,,1825-01-01T00:00:00.000,21.300000,-157.866670,"[-157.86667, 21.3]"
Hotse,11913,Valid,L6,,1956-01-01T00:00:00.000,35.666670,115.500000,"[115.5, 35.66667]"
Hoxie,11915,Valid,OC,,1963-01-01T00:00:00.000,39.350000,-100.450000,"[-100.45, 39.35]"
Hraschina,11916,Valid,"Iron, IID",,1751-01-01T00:00:00.000,46.100000,16.333330,"[16.33333, 46.1]"
Huaxi,54719,Valid,H5,,2010-01-01T00:00:00.000,26.464690,106.632410,"[106.63241, 26.46469]"
Hungen,11986,Valid,H6,,1877-01-01T00:00:00.000,50.300000,8.916670,"[8.91667, 50.3]"
Hvittis,11989,Valid,EL6,,1901-01-01T00:00:00.000,61.183330,22.683330,"[22.68333, 61.18333]"
Ibbenbüren,11992,Valid,Diogenite,,1870-01-01T00:00:00.000,52.283330,7.700000,"[7.7, 52.28333]"
Ibitira,11993,Valid,Eucrite-mmict,,1957-01-01T00:00:00.000,-20.000000,-45.000000,"[-45, -20]"
Ibrisim,11994,Valid,OC,,1949-01-01T00:00:00.000,38.000000,35.000000,"[35, 38]"
Ichkala,11995,Valid,H6,,1936-01-01T00:00:00.000,58.200000,82.933330,"[82.93333, 58.2]"
Idutywa,12000,Valid,H5,,1956-01-01T00:00:00.000,-32.100000,28.333330,"[28.33333, -32.1]"
Iguaracu,12003,Valid,H5,,1977-01-01T00:00:00.000,-23.200000,-51.833330,"[-51.83333, -23.2]"
Ijopega,12004,Valid,H6,,1975-01-01T00:00:00.000,-6.033330,145.366670,"[145.36667, -6.03333]"
Indarch,12027,Valid,EH4,,1891-01-01T00:00:00.000,39.750000,46.666670,"[46.66667, 39.75]"
Independence,12028,Valid,L6,,1917-01-01T00:00:00.000,39.083330,-94.400000,"[-94.4, 39.08333]"
Inner Mongolia,12037,Valid,L6,,1963-01-01T00:00:00.000,41.000000,112.000000,"[112, 41]"
Innisfree,12039,Valid,L5,,1977-01-01T00:00:00.000,53.415000,-111.337500,"[-111.3375, 53.415]"
Ipiranga,12043,Valid,H6,,1972-01-01T00:00:00.000,-25.500000,-54.500000,"[-54.5, -25.5]"
Ishinga,12049,Valid,H,,1954-01-01T00:00:00.000,-8.933330,33.800000,"[33.8, -8.93333]"
Isthilart,12053,Valid,H5,,1928-01-01T00:00:00.000,-31.183330,-57.950000,"[-57.95, -31.18333]"
Itapicuru-Mirim,12056,Valid,H5,,1879-01-01T00:00:00.000,-3.400000,-44.333330,"[-44.33333, -3.4]"
Itqiy,12058,Valid,EH7-an,,1990-01-01T00:00:00.000,26.590830,-12.952170,"[-12.95217, 26.59083]"
Ivuna,12063,Valid,CI1,,1938-01-01T00:00:00.000,-8.416670,32.433330,"[32.43333, -8.41667]"
Jackalsfontein,12065,Valid,L6,,1903-01-01T00:00:00.000,-32.500000,21.900000,"[21.9, -32.5]"
Jajh deh Kot Lalu,12067,Valid,EL6,,1926-01-01T00:00:00.000,26.750000,68.416670,"[68.41667, 26.75]"
Jalanash,12068,Valid,Ureilite,,1990-01-01T00:00:00.000,,,[]
Jalandhar,12069,Valid,Iron,,1621-01-01T00:00:00.000,31.000000,75.000000,"[75, 31]"
Jamkheir,12072,Valid,H6,,1866-01-01T00:00:00.000,18.750000,75.333330,"[75.33333, 18.75]"
Jartai,12074,Valid,L6,,1979-01-01T00:00:00.000,39.700000,105.800000,"[105.8, 39.7]"
Jelica,12078,Valid,LL6,,1889-01-01T00:00:00.000,43.833330,20.441670,"[20.44167, 43.83333]"
Jemlapur,12079,Valid,L6,,1901-01-01T00:00:00.000,,,[]
Jesenice,51589,Valid,L6,,2009-01-01T00:00:00.000,46.421370,14.052170,"[14.05217, 46.42137]"
Jhung,12085,Valid,L5,,1873-01-01T00:00:00.000,31.300000,72.383330,"[72.38333, 31.3]"
Jiange,12086,Valid,H5,,1964-01-01T00:00:00.000,31.916670,104.916670,"[104.91667, 31.91667]"
Jianshi,12087,Valid,"Iron, IIIAB",,1890-01-01T00:00:00.000,30.808330,109.500000,"[109.5, 30.80833]"
Jilin,12171,Valid,H5,,1976-01-01T00:00:00.000,44.050000,126.166670,"[126.16667, 44.05]"
Jodiya,47362,Valid,L5,,2006-01-01T00:00:00.000,22.680000,70.313330,"[70.31333, 22.68]"
Jodzie,12173,Valid,Howardite,,1877-01-01T00:00:00.000,55.700000,24.400000,"[24.4, 55.7]"
Johnstown,12198,Valid,Diogenite,,1924-01-01T00:00:00.000,40.350000,-104.900000,"[-104.9, 40.35]"
Jolomba,12199,Valid,LL6,,1974-01-01T00:00:00.000,-11.850000,15.833330,"[15.83333, -11.85]"
Jonzac,12202,Valid,Eucrite-mmict,,1819-01-01T00:00:00.000,45.433330,-0.450000,"[-0.45, 45.43333]"
Juancheng,12203,Valid,H5,,1997-01-01T00:00:00.000,35.500000,115.416670,"[115.41667, 35.5]"
Judesegeri,12207,Valid,H6,,1876-01-01T00:00:00.000,12.850000,76.800000,"[76.8, 12.85]"
Jumapalo,12209,Valid,L6,,1984-01-01T00:00:00.000,-7.716670,111.200000,"[111.2, -7.71667]"
Junan,12210,Valid,L6,,1976-01-01T00:00:00.000,35.200000,118.800000,"[118.8, 35.2]"
Juromenha,12213,Valid,"Iron, IIIAB",,1968-01-01T00:00:00.000,38.740280,-7.270000,"[-7.27, 38.74028]"
Juvinas,12214,Valid,Eucrite-mmict,,1821-01-01T00:00:00.000,44.716670,4.300000,"[4.3, 44.71667]"
Kaba,12218,Valid,CV3,,1857-01-01T00:00:00.000,47.350000,21.300000,"[21.3, 47.35]"
Kabo,12220,Valid,H4,,1971-01-01T00:00:00.000,11.850000,8.216670,"[8.21667, 11.85]"
Kadonah,12221,Valid,H6,,1822-01-01T00:00:00.000,27.083330,78.333330,"[78.33333, 27.08333]"
Kaee,12222,Valid,H5,,1838-01-01T00:00:00.000,27.250000,79.966670,"[79.96667, 27.25]"
Kagarlyk,12227,Valid,L6,,1908-01-01T00:00:00.000,49.866670,30.833330,"[30.83333, 49.86667]"
Kaidun,12228,Valid,CR2,,1980-01-01T00:00:00.000,15.000000,48.300000,"[48.3, 15]"
Kainsaz,12229,Valid,CO3.2,,1937-01-01T00:00:00.000,55.433330,53.250000,"[53.25, 55.43333]"
Kakangari,12230,Valid,K3,,1890-01-01T00:00:00.000,12.383330,78.516670,"[78.51667, 12.38333]"
Kakowa,12231,Valid,L6,,1858-01-01T00:00:00.000,45.133330,21.666670,"[21.66667, 45.13333]"
Kalaba,12232,Valid,H4,,1951-01-01T00:00:00.000,-6.833330,29.500000,"[29.5, -6.83333]"
Kalumbi,12236,Valid,L6,,1879-01-01T00:00:00.000,17.833330,73.983330,"[73.98333, 17.83333]"
Kamalpur,12238,Valid,L6,,1942-01-01T00:00:00.000,26.033330,81.466670,"[81.46667, 26.03333]"
Kamiomi,12240,Valid,H5,,1913-01-01T00:00:00.000,36.041670,139.956670,"[139.95667, 36.04167]"
Kamsagar,12241,Valid,L6,,1902-01-01T00:00:00.000,14.183330,75.800000,"[75.8, 14.18333]"
Kandahar (Afghanistan),12243,Valid,L6,,1959-01-01T00:00:00.000,31.600000,65.783330,"[65.78333, 31.6]"
Kangean,12245,Valid,H5,,1908-01-01T00:00:00.000,-7.000000,115.500000,"[115.5, -7]"
Kangra Valley,12246,Valid,H5,,1897-01-01T00:00:00.000,32.083330,76.300000,"[76.3, 32.08333]"
Kapoeta,12251,Valid,Howardite,,1942-01-01T00:00:00.000,4.700000,33.633330,"[33.63333, 4.7]"
Kaprada,47357,Valid,L5/6,,2004-01-01T00:00:00.000,20.339160,73.223290,"[73.22329, 20.33916]"
Kaptal-Aryk,12253,Valid,L6,,1937-01-01T00:00:00.000,42.450000,73.366670,"[73.36667, 42.45]"
Karakol,12256,Valid,LL6,,1840-01-01T00:00:00.000,47.216670,81.016670,"[81.01667, 47.21667]"
Karatu,12258,Valid,LL6,,1963-01-01T00:00:00.000,-3.500000,35.583330,"[35.58333, -3.5]"
Karewar,12260,Valid,L6,,1949-01-01T00:00:00.000,12.900000,7.150000,"[7.15, 12.9]"
Karkh,12262,Valid,L6,,1905-01-01T00:00:00.000,27.800000,67.166670,"[67.16667, 27.8]"
Karloowala,12263,Valid,L6,,1955-01-01T00:00:00.000,31.583330,71.600000,"[71.6, 31.58333]"
Karoonda,12264,Valid,CK4,,1930-01-01T00:00:00.000,-35.083330,139.916670,"[139.91667, -35.08333]"
Kasamatsu,12266,Valid,H,,1938-01-01T00:00:00.000,35.366670,136.766670,"[136.76667, 35.36667]"
Kasauli,30740,Valid,H4,,2003-01-01T00:00:00.000,29.583330,77.583330,"[77.58333, 29.58333]"
Katagum,35465,Valid,L6,,1999-01-01T00:00:00.000,11.333330,10.083330,"[10.08333, 11.33333]"
Kavarpura,47351,Valid,"Iron, IIE-an",,2006-01-01T00:00:00.000,25.143330,75.813330,"[75.81333, 25.14333]"
Kayakent,12268,Valid,"Iron, IIIAB",,1961-01-01T00:00:00.000,39.263330,31.780000,"[31.78, 39.26333]"
Kediri,12270,Valid,L4,,1940-01-01T00:00:00.000,-7.750000,112.016670,"[112.01667, -7.75]"
Kemer,53654,Valid,L4,,2008-01-01T00:00:00.000,36.541940,29.418220,"[29.41822, 36.54194]"
Kendleton,12275,Valid,L4,,1939-01-01T00:00:00.000,29.450000,-96.000000,"[-96, 29.45]"
Kendrapara,12276,Valid,H4-5,,2003-01-01T00:00:00.000,20.462500,86.702780,"[86.70278, 20.4625]"
Kerilis,12282,Valid,H5,,1874-01-01T00:00:00.000,48.400000,-3.300000,"[-3.3, 48.4]"
Kernouve,12284,Valid,H6,,1869-01-01T00:00:00.000,48.116670,-3.083330,"[-3.08333, 48.11667]"
Kesen,12286,Valid,H4,,1850-01-01T00:00:00.000,38.983330,141.616670,"[141.61667, 38.98333]"
Khairpur,12288,Valid,EL6,,1873-01-01T00:00:00.000,29.533330,72.300000,"[72.3, 29.53333]"
Khanpur,12289,Valid,LL5,,1932-01-01T00:00:00.000,25.550000,83.116670,"[83.11667, 25.55]"
Kharkov,12291,Valid,L6,,1787-01-01T00:00:00.000,50.625000,35.075000,"[35.075, 50.625]"
Kheragur,12294,Valid,L6,,1860-01-01T00:00:00.000,26.950000,77.883330,"[77.88333, 26.95]"
Khetri,12296,Valid,H6,,1867-01-01T00:00:00.000,28.016670,75.816670,"[75.81667, 28.01667]"
Khmelevka,12297,Valid,L5,,1929-01-01T00:00:00.000,56.750000,75.333330,"[75.33333, 56.75]"
Khohar,12298,Valid,L3.6,,1910-01-01T00:00:00.000,25.100000,81.533330,"[81.53333, 25.1]"
Khor Temiki,12299,Valid,Aubrite,,1932-01-01T00:00:00.000,16.000000,36.000000,"[36, 16]"
Kidairat,12300,Valid,H6,,1983-01-01T00:00:00.000,14.000000,28.000000,"[28, 14]"
Kiel,12301,Valid,L6,,1962-01-01T00:00:00.000,54.400000,10.150000,"[10.15, 54.4]"
Kiffa,12303,Valid,H5,,1970-01-01T00:00:00.000,16.583330,-11.333330,"[-11.33333, 16.58333]"
Kijima (1906),12305,Valid,Stone-uncl,,1906-01-01T00:00:00.000,36.850000,138.383330,"[138.38333, 36.85]"
Kikino,12306,Valid,H6,,1809-01-01T00:00:00.000,55.000000,34.000000,"[34, 55]"
Kilabo,12307,Valid,LL6,,2002-01-01T00:00:00.000,12.766670,9.800000,"[9.8, 12.76667]"
Kilbourn,12308,Valid,H5,,1911-01-01T00:00:00.000,43.583330,-89.600000,"[-89.6, 43.58333]"
Killeter,12309,Valid,H6,,1844-01-01T00:00:00.000,54.666670,-7.666670,"[-7.66667, 54.66667]"
Kingai,12316,Valid,H6,,1967-01-01T00:00:00.000,11.633330,24.683330,"[24.68333, 11.63333]"
Kirbyville,12321,Valid,Eucrite-mmict,,1906-01-01T00:00:00.000,30.750000,-95.950000,"[-95.95, 30.75]"
Kisvarsány,12325,Valid,L6,,1914-01-01T00:00:00.000,48.166670,22.308330,"[22.30833, 48.16667]"
Kitchener,12326,Valid,L6,,1998-01-01T00:00:00.000,43.383330,-80.383330,"[-80.38333, 43.38333]"
Klein-Wenden,12332,Valid,H6,,1843-01-01T00:00:00.000,51.600000,10.800000,"[10.8, 51.6]"
Knyahinya,12335,Valid,L/LL5,,1866-01-01T00:00:00.000,48.900000,22.400000,"[22.4, 48.9]"
Kobe,12336,Valid,CK4,,1999-01-01T00:00:00.000,34.733330,135.166670,"[135.16667, 34.73333]"
Kokubunji,12342,Valid,L6,,1986-01-01T00:00:00.000,34.300000,133.950000,"[133.95, 34.3]"
Komagome,12343,Valid,Iron,,1926-01-01T00:00:00.000,35.733330,139.750000,"[139.75, 35.73333]"
Konovo,12344,Valid,LL5,,1931-01-01T00:00:00.000,42.516670,26.166670,"[26.16667, 42.51667]"
Košice,53810,Valid,H5,,2010-01-01T00:00:00.000,48.763670,21.176330,"[21.17633, 48.76367]"
Krähenberg,12353,Valid,LL5,,1869-01-01T00:00:00.000,49.326940,7.464720,"[7.46472, 49.32694]"
Krasnoi-Ugol,12355,Valid,L6,,1829-01-01T00:00:00.000,54.033330,40.900000,"[40.9, 54.03333]"
Krasnyi Klyuch,12357,Valid,H5,,1946-01-01T00:00:00.000,54.333330,56.083330,"[56.08333, 54.33333]"
Krutikha,12363,Valid,OC,,1906-01-01T00:00:00.000,56.800000,77.000000,"[77, 56.8]"
Krymka,12364,Valid,LL3.2,,1946-01-01T00:00:00.000,47.833330,30.766670,"[30.76667, 47.83333]"
Kukschin,12368,Valid,L6,,1938-01-01T00:00:00.000,51.150000,31.700000,"[31.7, 51.15]"
Kulak,12369,Valid,L5,,1961-01-01T00:00:00.000,30.731110,66.802220,"[66.80222, 30.73111]"
Kuleschovka,12370,Valid,L6,,1811-01-01T00:00:00.000,50.750000,33.500000,"[33.5, 50.75]"
Kulp,12373,Valid,H6,,1906-01-01T00:00:00.000,41.116670,45.000000,"[45, 41.11667]"
Kunashak,12377,Valid,L6,,1949-01-01T00:00:00.000,55.783330,61.366670,"[61.36667, 55.78333]"
Kunya-Urgench,12379,Valid,H5,,1998-01-01T00:00:00.000,42.250000,59.200000,"[59.2, 42.25]"
Kushiike,12381,Valid,OC,,1920-01-01T00:00:00.000,37.050000,138.383330,"[138.38333, 37.05]"
Kusiali,12382,Valid,L6,,1860-01-01T00:00:00.000,29.683330,78.383330,"[78.38333, 29.68333]"
Kutais,12383,Valid,H5,,1977-01-01T00:00:00.000,44.516670,39.300000,"[39.3, 44.51667]"
Kuttippuram,12384,Valid,L6,,1914-01-01T00:00:00.000,10.833330,76.033330,"[76.03333, 10.83333]"
Kuznetzovo,12385,Valid,L6,,1932-01-01T00:00:00.000,55.200000,75.333330,"[75.33333, 55.2]"
Kyushu,12390,Valid,L6,,1886-01-01T00:00:00.000,32.033330,130.633330,"[130.63333, 32.03333]"
La Bécasse,12392,Valid,L6,,1879-01-01T00:00:00.000,47.083330,1.750000,"[1.75, 47.08333]"
La Charca,12394,Valid,OC,,1878-01-01T00:00:00.000,20.666670,-101.283330,"[-101.28333, 20.66667]"
La Colina,12395,Valid,H5,,1924-01-01T00:00:00.000,-37.333330,-61.533330,"[-61.53333, -37.33333]"
La Criolla,12396,Valid,L6,,1985-01-01T00:00:00.000,-31.233330,-58.166670,"[-58.16667, -31.23333]"
Laborel,12408,Valid,H5,,1871-01-01T00:00:00.000,44.283330,5.583330,"[5.58333, 44.28333]"
Lahrauli,12433,Valid,Ureilite,,1955-01-01T00:00:00.000,26.783330,82.716670,"[82.71667, 26.78333]"
L'Aigle,12434,Valid,L6,,1803-01-01T00:00:00.000,48.766670,0.633330,"[0.63333, 48.76667]"
Cumulus Hills 04075,32531,Valid,Pallasite,,2003-01-01T00:00:00.000,,,[]
Lakangaon,12435,Valid,Eucrite-mmict,,1910-01-01T00:00:00.000,21.866670,76.033330,"[76.03333, 21.86667]"
Lalitpur,12451,Valid,L6,,1887-01-01T00:00:00.000,24.450000,78.566670,"[78.56667, 24.45]"
Lancé,12455,Valid,CO3.5,,1872-01-01T00:00:00.000,47.700000,1.066670,"[1.06667, 47.7]"
Lancon,12456,Valid,H6,,1897-01-01T00:00:00.000,43.750000,5.116670,"[5.11667, 43.75]"
Långhalsen,12461,Valid,L6,,1947-01-01T00:00:00.000,58.850000,16.733330,"[16.73333, 58.85]"
Lanxi,12464,Valid,L6,,1986-01-01T00:00:00.000,46.241670,126.196110,"[126.19611, 46.24167]"
Lanzenkirchen,12465,Valid,L4,,1925-01-01T00:00:00.000,47.750000,16.233330,"[16.23333, 47.75]"
Laochenzhen,12466,Valid,H5,,1987-01-01T00:00:00.000,33.133330,115.166670,"[115.16667, 33.13333]"
Launton,12740,Valid,L6,,1830-01-01T00:00:00.000,51.900000,-1.116670,"[-1.11667, 51.9]"
Lavrentievka,12743,Valid,L6,,1938-01-01T00:00:00.000,52.450000,51.566670,"[51.56667, 52.45]"
Le Pressoir,12748,Valid,H5,,1845-01-01T00:00:00.000,47.166670,0.433330,"[0.43333, 47.16667]"
Le Teilleul,12749,Valid,Howardite,,1845-01-01T00:00:00.000,48.533330,-0.866670,"[-0.86667, 48.53333]"
Leedey,12755,Valid,L6,,1943-01-01T00:00:00.000,35.883330,-99.333330,"[-99.33333, 35.88333]"
